Median_colony_size,mean_cover,BlackMarble_2016_3km_geo.3,ID,value
13.0,1.532809906,15,1010001,10.0
13.0,1.532809906,14,1010002,10.0
15.244019138756,1.532809906,15,1010003,8.0
13.0,1.532809906,14,1010004,10.0
13.0,1.532809906,14,1010005,10.0
15.244019138756,1.532809906,14,1010006,10.0
13.0,1.532809906,14,1010007,8.0
13.0,1.532809906,14,1010008,10.0
15.244019138756,1.532809906,15,1010009,8.0
13.0,6.5579637050493,15,1010010,11.0
13.0,6.5579637050493,15,1010011,18.0
13.0,6.5579637050493,15,1010012,14.0
13.0,6.5579637050493,15,1010013,11.0
13.0,6.5579637050493,14,1010014,19.0
13.0,6.5579637050493,14,1010015,17.0
13.0,6.5579637050493,15,1010016,11.0
13.0,6.5579637050493,14,1010017,17.0
13.0,6.5579637050493,15,1010018,14.0
13.0,6.5579637050493,14,1010019,11.0
13.0,6.5579637050493,14,1010020,11.0
13.0,6.5579637050493,15,1010021,10.0
13.0,1.310332356,15,1010022,10.0
13.0,1.310332356,15,1010023,11.0
13.0,1.310332356,15,1010024,10.0
13.0,1.310332356,15,1010025,11.0
13.0,1.310332356,14,1010026,8.0
13.0,1.310332356,15,1010027,10.0
13.0,1.310332356,15,1010028,10.0
13.0,1.310332356,14,1010029,10.0
13.0,1.310332356,15,1010030,8.0
13.0,1.310332356,15,1010031,11.0
13.0,1.310332356,14,1010032,11.0
13.0,1.310332356,15,1010033,11.0
13.0,1.310332356,14,1010034,10.0
13.0,1.310332356,15,1010035,10.0
13.0,1.310332356,14,1010036,10.0
13.0,1.310332356,15,1010037,11.0
13.0,1.310332356,14,1010038,10.0
13.0,1.310332356,15,1010039,10.0
13.0,1.310332356,15,1010040,10.0
13.0,1.310332356,15,1010041,10.0
13.0,1.310332356,15,1010042,11.0
13.0,1.310332356,15,1010043,11.0
13.0,1.310332356,15,1010044,11.0
13.0,1.310332356,14,1010045,10.0
13.0,1.310332356,14,1010046,11.0
13.0,1.310332356,14,1010047,11.0
13.0,1.310332356,14,1010048,11.0
13.0,1.310332356,15,1010049,10.0
13.0,1.310332356,15,1010050,8.0
13.0,1.310332356,15,1010051,10.0
13.0,1.310332356,15,1010052,11.0
13.0,1.310332356,15,1010053,10.0
13.0,1.310332356,14,1010054,8.0
13.0,12.703503447,15,1010055,19.0
13.0,12.703503447,14,1010056,16.0
13.0,12.703503447,15,1010057,20.0
13.0,12.703503447,14,1010058,19.0
13.0,12.703503447,15,1010059,19.0
13.0,12.703503447,15,1010060,22.0
13.0,12.703503447,14,1010061,21.0
13.0,12.703503447,14,1010062,25.0
13.0,12.703503447,15,1010063,20.0
13.0,12.703503447,14,1010064,20.0
13.0,12.703503447,15,1010065,22.0
13.0,12.703503447,14,1010066,22.0
13.0,12.703503447,15,1010067,22.0
13.0,12.703503447,15,1010068,17.0
13.0,12.703503447,14,1010069,17.0
13.0,12.703503447,15,1010070,21.0
13.0,12.703503447,15,1010071,16.0
13.0,12.703503447,14,1010072,16.0
13.0,12.703503447,15,1010073,19.0
13.0,12.703503447,14,1010074,15.0
13.0,12.703503447,15,1010075,16.0
13.0,12.703503447,14,1010076,19.0
13.0,12.703503447,15,1010077,19.0
13.0,12.703503447,15,1010078,14.0
13.0,6.5579637050493,15,1010079,11.0
13.0,6.5579637050493,15,1010080,12.0
13.0,6.5579637050493,15,1010081,12.0
13.0,6.5579637050493,15,1010082,12.0
13.0,6.5579637050493,14,1010083,14.0
13.0,6.5579637050493,14,1010084,11.0
13.0,6.5579637050493,15,1010085,11.0
13.0,6.5579637050493,15,1010086,11.0
13.0,6.5579637050493,15,1010087,11.0
13.0,6.5579637050493,15,1010088,12.0
13.0,6.5579637050493,15,1010089,16.0
13.0,6.5579637050493,15,1010090,16.0
13.0,6.5579637050493,15,1010091,11.0
13.0,6.5579637050493,15,1010092,12.0
13.0,6.5579637050493,15,1010093,14.0
13.0,6.5579637050493,14,1010094,17.0
13.0,6.5579637050493,15,1010095,17.0
13.0,6.5579637050493,15,1010096,11.0
13.0,6.5579637050493,15,1010097,12.0
13.0,6.5579637050493,15,1010098,16.0
13.0,6.5579637050493,15,1010099,17.0
13.0,6.5579637050493,15,1010100,17.0
