Region,Response,Response_level,ID,value,LwrEstimate,estimate,UprEstimate,disease_risk_change,drisk
gbr,Coral cover,5.0,gbr_1,0.0,0.0,0.0,0.4,0.0,0
gbr,Coral cover,15.0,gbr_1,0.0,0.0,0.22,0.5,0.0,0
gbr,Coral cover,25.0,gbr_1,0.0,0.0,0.33,0.88,0.0,0
gbr,Coral cover,35.0,gbr_1,0.0,0.0,0.33,0.8349999999999996,0.0,0
gbr,Coral cover,45.0,gbr_1,0.0,0.0,0.33,0.8629999999999998,0.0,0
gbr,Coral cover,55.0,gbr_1,0.0,0.0,0.29,0.7849999999999997,0.0,0
gbr,Coral cover,65.0,gbr_1,0.0,0.0,0.33,0.88,0.0,0
gbr,Coral cover,75.0,gbr_1,0.0,0.0,0.4075,1.0,0.0,0
gbr,Coral cover,85.0,gbr_1,0.0,0.0,0.43,1.0,0.0,0
gbr,Fish,400.0,gbr_1,0.0,0.0,0.455,1.0,0.0,0
gbr,Fish,450.0,gbr_1,0.0,0.0,0.41,0.8919999999999993,0.0,0
gbr,Fish,500.0,gbr_1,0.0,0.035,0.5,1.0,0.0,0
gbr,Fish,550.0,gbr_1,0.0,0.0,0.4075,0.88,0.0,0
gbr,Fish,600.0,gbr_1,0.0,0.0,0.4075,0.8919999999999993,0.0,0
gbr,Fish,650.0,gbr_1,0.0,0.0,0.26,0.5799999999999994,0.0,0
gbr,Fish,700.0,gbr_1,0.0,0.0,0.33,0.71,0.0,0
gbr,Fish,750.0,gbr_1,0.0,0.0,0.5,1.0,0.0,0
gbr,Fish,800.0,gbr_1,0.0,0.0,0.5,0.8919999999999993,0.0,0
gbr,Turbidity,0.0,gbr_1,0.0,0.0,0.5,0.8919999999999993,0.0,0
gbr,Turbidity,0.1,gbr_1,0.0,0.0,0.205,0.6,0.0,0
gbr,Turbidity,0.2,gbr_1,0.0,0.0,0.2,0.5049999999999997,0.0,0
gbr,Turbidity,0.3,gbr_1,0.0,0.0,0.2,0.5,0.0,0
