"PolygonID","PixelID"
"gbr_1",1003863
"gbr_2",1003863
"gbr_3",1003897
"gbr_3",1003924
"gbr_4",1003863
"gbr_4",1003897
"gbr_4",1003924
"gbr_4",1003896
"gbr_4",1003923
"gbr_4",1003975
"gbr_5",1003864
"gbr_5",1003863
"gbr_5",1003897
"gbr_6",1004242
"gbr_6",1004263
"gbr_6",1004284
"gbr_6",1004307
"gbr_6",1004262
"gbr_6",1004283
"gbr_6",1004306
"gbr_8",1004804
"gbr_9",1004243
"gbr_10",1003803
"gbr_10",1003834
"gbr_10",1003802
"gbr_10",1003832
"gbr_11",1004265
"gbr_11",1004264
"gbr_12",1004184
"gbr_12",1004183
"gbr_12",1004215
"gbr_12",1004243
"gbr_14",1003925
"gbr_15",1003836
"gbr_17",1003804
"gbr_18",1003837
"gbr_19",1004137
"gbr_19",1004156
"gbr_20",1004153
"gbr_20",1004176
"gbr_21",1004453
"gbr_21",1004424
"gbr_21",1004452
"gbr_21",1004475
"gbr_21",1004423
"gbr_21",1004451
"gbr_21",1004474
"gbr_21",1004501
"gbr_21",1004528
"gbr_21",1004500
"gbr_21",1004527
"gbr_21",1004553
"gbr_21",1004526
"gbr_21",1004552
"gbr_21",1004580
"gbr_21",1004551
"gbr_21",1004579
"gbr_22",1004475
"gbr_22",1004502
"gbr_22",1004529
"gbr_22",1004474
"gbr_22",1004501
"gbr_22",1004528
"gbr_22",1004527
"gbr_22",1004553
"gbr_22",1004580
"gbr_22",1004608
"gbr_22",1004551
"gbr_22",1004579
"gbr_23",1004053
"gbr_23",1004052
"gbr_24",1004054
"gbr_24",1004053
"gbr_24",1004052
"gbr_24",1004071
"gbr_25",1004377
"gbr_25",1004400
"gbr_25",1004376
"gbr_25",1004399
"gbr_25",1004425
"gbr_25",1004453
"gbr_25",1004398
"gbr_25",1004424
"gbr_25",1004452
"gbr_26",1004179
"gbr_26",1004209
"gbr_26",1004236
"gbr_26",1004178
"gbr_26",1004208
"gbr_26",1004235
"gbr_27",1004055
"gbr_27",1004054
"gbr_28",1004258
"gbr_28",1004257
"gbr_29",1004379
"gbr_29",1004402
"gbr_29",1004427
"gbr_29",1004378
"gbr_29",1004401
"gbr_29",1004426
"gbr_30",1003970
"gbr_30",1003997
"gbr_30",1004037
"gbr_31",1003970
"gbr_31",1003998
"gbr_31",1003997
"gbr_32",1004300
"gbr_32",1004237
"gbr_32",1004258
"gbr_32",1004279
"gbr_32",1004299
"gbr_32",1004236
"gbr_32",1004257
"gbr_32",1004278
"gbr_32",1004235
"gbr_32",1004256
"gbr_33",1004300
"gbr_33",1004330
"gbr_33",1004299
"gbr_33",1004329
"gbr_33",1004354
"gbr_33",1004427
"gbr_33",1004378
"gbr_33",1004401
"gbr_33",1004426
"gbr_33",1004377
"gbr_33",1004400
"gbr_34",1004330
"gbr_34",1004355
"gbr_34",1004329
"gbr_34",1004354
"gbr_35",1003948
"gbr_35",1003970
"gbr_36",1003857
"gbr_37",1003999
"gbr_37",1004022
"gbr_37",1003998
"gbr_37",1004021
"gbr_38",1003894
"gbr_38",1003893
"gbr_39",1004182
"gbr_39",1004214
"gbr_39",1004181
"gbr_39",1004213
"gbr_39",1004241
"gbr_40",1003863
"gbr_40",1003897
"gbr_40",1003862
"gbr_40",1003896
"gbr_40",1003923
"gbr_40",1003861
"gbr_40",1003895
"gbr_40",1003922
"gbr_40",1003921
"gbr_41",1004182
"gbr_42",1004433
"gbr_42",1004458
"gbr_42",1004432
"gbr_42",1004457
"gbr_43",1003217
"gbr_44",1004459
"gbr_44",1004483
"gbr_44",1004458
"gbr_44",1004482
"gbr_45",1004592
"gbr_46",1003261
"gbr_46",1003286
"gbr_46",1003260
"gbr_47",1004338
"gbr_47",1004363
"gbr_47",1004337
"gbr_47",1004362
"gbr_48",1003286
"gbr_48",1003313
"gbr_48",1003285
"gbr_49",1003218
"gbr_50",1004364
"gbr_50",1004363
"gbr_50",1004386
"gbr_51",1004593
"gbr_51",1004622
"gbr_51",1004592
"gbr_51",1004621
"gbr_52",1004313
"gbr_52",1004312
"gbr_53",1004217
"gbr_53",1004245
"gbr_53",1004268
"gbr_53",1004216
"gbr_53",1004244
"gbr_53",1004267
"gbr_53",1004266
"gbr_54",1004484
"gbr_55",1003804
"gbr_56",1003838
"gbr_57",1003807
"gbr_58",1003778
"gbr_59",1003778
"gbr_59",1003807
"gbr_60",1004332
"gbr_60",1004357
"gbr_60",1004331
"gbr_60",1004356
"gbr_61",1004212
"gbr_61",1004239
"gbr_61",1004211
"gbr_61",1004238
"gbr_62",1004333
"gbr_62",1004332
"gbr_63",1003859
"gbr_63",1003894
"gbr_64",1003973
"gbr_64",1004001
"gbr_64",1003972
"gbr_64",1004000
"gbr_65",1003860
"gbr_65",1003859
"gbr_66",1004282
"gbr_66",1004303
"gbr_66",1004334
"gbr_66",1004212
"gbr_66",1004239
"gbr_66",1004260
"gbr_66",1004281
"gbr_66",1004302
"gbr_66",1004333
"gbr_66",1004358
"gbr_66",1004211
"gbr_66",1004238
"gbr_66",1004259
"gbr_66",1004280
"gbr_66",1004301
"gbr_66",1004332
"gbr_66",1004357
"gbr_66",1004331
"gbr_66",1004356
"gbr_66",1004381
"gbr_66",1004404
"gbr_66",1004300
"gbr_66",1004330
"gbr_66",1004355
"gbr_66",1004380
"gbr_66",1004403
"gbr_66",1004354
"gbr_66",1004379
"gbr_66",1004402
"gbr_66",1004427
"gbr_66",1004378
"gbr_67",1003831
"gbr_67",1003830
"gbr_67",1003829
"gbr_67",1003858
"gbr_67",1003828
"gbr_68",1003921
"gbr_69",1003895
"gbr_70",1003895
"gbr_71",1003974
"gbr_71",1004002
"gbr_71",1003920
"gbr_71",1003973
"gbr_71",1004001
"gbr_71",1003894
"gbr_71",1003972
"gbr_71",1004000
"gbr_71",1003893
"gbr_71",1003971
"gbr_71",1003999
"gbr_71",1004022
"gbr_72",1003922
"gbr_72",1003921
"gbr_73",1003895
"gbr_74",1003802
"gbr_74",1003832
"gbr_74",1003831
"gbr_75",1003895
"gbr_76",1003975
"gbr_76",1003974
"gbr_77",1004305
"gbr_77",1004304
"gbr_77",1004335
"gbr_77",1004261
"gbr_77",1004282
"gbr_77",1004303
"gbr_77",1004334
"gbr_77",1004239
"gbr_77",1004260
"gbr_77",1004281
"gbr_80",1004774
"gbr_80",1004780
"gbr_80",1004784
"gbr_80",1004773
"gbr_80",1004779
"gbr_80",1004783
"gbr_81",1004327
"gbr_81",1004326
"gbr_81",1004352
"gbr_82",1004327
"gbr_82",1004326
"gbr_82",1004352
"gbr_83",1004695
"gbr_83",1004722
"gbr_83",1004740
"gbr_83",1004754
"gbr_83",1004694
"gbr_83",1004721
"gbr_83",1004739
"gbr_83",1004753
"gbr_84",1004254
"gbr_84",1004298
"gbr_84",1004297
"gbr_85",1004254
"gbr_86",1004136
"gbr_87",1004234
"gbr_87",1004233
"gbr_88",1004205
"gbr_88",1004233
"gbr_89",1004255
"gbr_90",1004255
"gbr_91",1004205
"gbr_92",1004174
"gbr_92",1004205
"gbr_93",1004121
"gbr_93",1004120
"gbr_94",1004551
"gbr_94",1004579
"gbr_94",1004723
"gbr_94",1004741
"gbr_94",1004695
"gbr_94",1004722
"gbr_94",1004740
"gbr_94",1004754
"gbr_94",1004694
"gbr_95",1004070
"gbr_95",1004087
"gbr_95",1004086
"gbr_95",1004085
"gbr_96",1004071
"gbr_96",1004070
"gbr_97",1004644
"gbr_97",1004672
"gbr_97",1004643
"gbr_97",1004671
"gbr_98",1003278
"gbr_98",1003254
"gbr_99",1004503
"gbr_100",1004531
"gbr_100",1004557
"gbr_100",1004530
"gbr_100",1004556
"gbr_101",1004477
"gbr_101",1004504
"gbr_101",1004476
"gbr_101",1004503
"gbr_102",1003280
"gbr_102",1003279
"gbr_103",1004532
"gbr_103",1004531
"gbr_104",1003255
"gbr_104",1003254
"gbr_105",1004586
"gbr_105",1004585
"gbr_106",1004405
"gbr_107",1004505
"gbr_108",1004405
"gbr_108",1004428
"gbr_108",1004454
"gbr_109",1004616
"gbr_110",1003256
"gbr_110",1003255
"gbr_111",1004617
"gbr_111",1004648
"gbr_111",1004676
"gbr_111",1004706
"gbr_111",1004734
"gbr_111",1004587
"gbr_111",1004616
"gbr_111",1004647
"gbr_111",1004675
"gbr_111",1004705
"gbr_111",1004733
"gbr_111",1004586
"gbr_111",1004615
"gbr_111",1004646
"gbr_111",1004674
"gbr_111",1004704
"gbr_112",1003239
"gbr_113",1004336
"gbr_113",1004360
"gbr_114",1004456
"gbr_115",1003976
"gbr_115",1004038
"gbr_115",1004057
"gbr_115",1004056
"gbr_116",1003284
"gbr_116",1003312
"gbr_116",1003283
"gbr_117",1003217
"gbr_118",1003259
"gbr_118",1003240
"gbr_118",1003258
"gbr_119",1004361
"gbr_119",1004385
"gbr_119",1004336
"gbr_119",1004360
"gbr_119",1004384
"gbr_120",1004038
"gbr_120",1004057
"gbr_121",1004286
"gbr_121",1004311
"gbr_121",1004337
"gbr_121",1004285
"gbr_121",1004310
"gbr_122",1004591
"gbr_123",1004591
"gbr_123",1004620
"gbr_124",1003294
"gbr_124",1003293
"gbr_125",1003320
"gbr_125",1003319
"gbr_126",1004660
"gbr_126",1004715
"gbr_126",1004629
"gbr_126",1004688
"gbr_126",1004714
"gbr_126",1004628
"gbr_126",1004659
"gbr_126",1004687
"gbr_126",1004627
"gbr_126",1004658
"gbr_127",1003294
"gbr_128",1003167
"gbr_129",1004766
"gbr_129",1003805
"gbr_129",1003838
"gbr_129",1003804
"gbr_129",1003837
"gbr_129",1003898
"gbr_129",1003926
"gbr_129",1003836
"gbr_129",1003925
"gbr_129",1004185
"gbr_129",1003835
"gbr_129",1004184
"gbr_129",1004265
"gbr_129",1004183
"gbr_129",1004215
"gbr_129",1004243
"gbr_129",1004264
"gbr_129",1003803
"gbr_129",1003834
"gbr_129",1004308
"gbr_129",1003864
"gbr_129",1004242
"gbr_129",1004263
"gbr_129",1004284
"gbr_129",1004307
"gbr_129",1003863
"gbr_129",1003897
"gbr_129",1003924
"gbr_129",1004182
"gbr_129",1004214
"gbr_129",1004262
"gbr_129",1004283
"gbr_129",1004306
"gbr_129",1003833
"gbr_129",1003862
"gbr_129",1003923
"gbr_129",1003975
"gbr_129",1004003
"gbr_129",1004181
"gbr_129",1004213
"gbr_129",1004241
"gbr_129",1004305
"gbr_129",1003802
"gbr_129",1003832
"gbr_129",1003861
"gbr_129",1003895
"gbr_129",1003922
"gbr_129",1003974
"gbr_129",1004002
"gbr_129",1004240
"gbr_129",1003831
"gbr_129",1003860
"gbr_129",1003921
"gbr_129",1004261
"gbr_129",1003830
"gbr_129",1003859
"gbr_129",1003920
"gbr_129",1004212
"gbr_129",1004239
"gbr_129",1004358
"gbr_129",1003829
"gbr_129",1003858
"gbr_129",1004211
"gbr_129",1004238
"gbr_129",1004259
"gbr_129",1004280
"gbr_129",1003828
"gbr_129",1003893
"gbr_129",1003971
"gbr_129",1003999
"gbr_129",1004022
"gbr_129",1004381
"gbr_129",1004404
"gbr_129",1003857
"gbr_129",1003892
"gbr_129",1003948
"gbr_129",1003970
"gbr_129",1003998
"gbr_129",1004021
